id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
1966,The Gruffalo,2.92/4,2009,Animation/Family,G,"Max Lang, Jakob Schuh","Helena Bonham Carter, James Corden, Tom Wilkinson",
1967,The Color of Magic,3.00/4,2009,Adventure/Comedy,NR,Vadim Jean,"David Jason, Sean Astin, Tim Curry","After being expelled from the unseen university for a lack of progress, Rincewind becomes the unwilling guide to Twoflower, the discworld's first tourist. But Rincewind's departure upsets the most powerful book in the world, the Octavo, because he is carrying one of it's eight spells in his head. The spells must all be said together at the right time, or worlds will be in danger. Based on Terry Pratchett's Discworld book series."
1968,Crossing ( Keurosing ),3.00/4,2009,Drama,NR,Tae-gyun Kim,"In-Pyo Cha, In-gi Jeong, Shin Myeong-Cheol","Yong-soo is an ex-soccer player who lives in a small coal mine village in North Korea with his critically ill, pregnant wife and young son, Joon. Although living in extreme poverty like many other families in North Korea, the family is happy just to be with each other.

Unable to find food and medicine for his family, he secretly crosses the border to China hoping to find some there. After many life-threatening moments in China, Yong-soo is forced into South Korea, becoming an unwanted refugee prohibited to return to his family."
1969,2081,3.00/4,2009,Action/Sci-Fi,NR,Chandler Tuttle,"Patricia Clarkson, James Cosmo, Julie Hagerty",
1970,"Pope Joan ( P_pstin, Die )",3.00/4,2009,Drama/Historical,NR,Șnke Wortmann,"Johanna Wokalek, David Wenham, John Goodman",
1971,"Haunting in Connecticut, The",2.52/4,2009,Horror/Thriller,R,Peter Cornwell,"Virginia Madsen, Amanda Crew, Elias Koteas","Based on real events, a family moves to upstate Connecticut to help their son but the charming Victorian house has a dark past as former mortuary causing increasingly violent supernatural events to occur."
1972,The Horse Boy,2.90/4,2009,Documentary,NR,Michel O. Scott,"Simon Baron-Cohen, Temple Grandin, Roy Richard Grinker",
1973,TiMER,2.69/4,2009,Comedy/Drama,R,Jac Schaeffer,"Emma Caulfield, Michelle Borth, John Patrick Amedori","In our near future is made a clock that tells with certainty the time when you will meet your one and only soul mate. The question is, your life goes regardless the timer, so what would you really do when you meet him/her?"
1974,More Than a Game,2.80/4,2009,Documentary,PG,Kristopher Belman,"LeBron James, Dru Joyce, Romeo Travis",The story of a close-knit high school basketball team.
1975,"Broken Embraces ( abrazos rotos, Los )",2.64/4,2009,Drama/Thriller,R,Pedro Almod_var,"Pen̩lope Cruz, Llu_s Homar, Blanca Portillo","After an accident took from him his sight and his love, writer Mateo Blanco increasingly turns to his pseudonym, Harry Caine, eventually erasing all traces of his old life. But what begins as a simple bedtime story for a child turns into an emotional roller-coaster, forcing him to once again face his true self."
1976,The Soloist,2.58/4,2009,Drama/Biography,PG-13,Joe Wright,"Robert Downey Jr., Jamie Foxx, Catherine Keener","A journalist discovers a schizophrenic, homeless musician and attempts to to help him overcome his problems and achieve his dream of playing at the Walt Disney Concert Hall."
