id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
1016,Pacific Rim,2.64/4,2013,Action/Sci-Fi,PG-13,Guillermo del Toro,"Idris Elba, Charlie Hunnam, Rinko Kikuchi","When monstrous creatures from the sea dubbed Kaiju attack, it pushes the human race to the edge of annihilation. Countering the force with massive robots known as Jaegers, two human pilots linked by a neural bridge take on the Kaiju. Yet even this force seems to be no match, and after years of fighting it comes down to a washed-up pilot, an untested rookie and an aged Jaeger to stand up for humanity."
1017,Oblivion,2.65/4,2013,Sci-Fi/Action,PG-13,Joseph Kosinski,"Tom Cruise, Morgan Freeman, Nikolaj Coster-Waldau","After devastating war that brought Earth on the brink of extinction, the remaining people are assigned to protect the last useful sources of energy. That is until a technician on the ground discovers something that changes everything he has been told."
1018,We are the Best! ( Vi _r b_st! ),2.86/4,2013,Drama,NR,Lukas Moodysson,"Liv LeMoyne, Mads Korsgaard, Mira Grosin",In 1980s Stockholm a trio of girls decide to form their own punk band - the only setback is none of them have any instruments and everyone around them thinks punk is dead.
1019,Escape Plan,2.69/4,2013,Action/Thriller,R,Mikael H̴fstr̦m,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel","Ray Breslin designs the most secure buildings in the world, including many prisons. But when he is framed for murder and put inside one of his own master prisons, he will have to put his knowledge to good use to escape and find the people who framed him."
1020,Odd Thomas,2.73/4,2013,Mystery/Thriller,NR,Stephen Sommers,"Patton Oswalt, Willem Dafoe, Anton Yelchin","Based on the best-selling novel by Dean Koontz: Short order cook Odd Thomas has the ability to see dead people - literally everywhere - but tries his best to live a ""normal"" life. But a new man enters town - accompanied by a group of bodachs - ghosts who feed on pain and suffering, and Thomas knows the town is in danger. Teaming up with gal pal Stormy and the local sheriff, he aims to stop the disaster before it happens."
1021,Mystery Road,2.93/4,2013,Crime/Drama,NR,Ivan Sen,"Hugo Weaving, Aaron Pedersen, Jack Thompson","An Indigenous detective, Jay Swan, finds himself back home when a teen Indigenous girl is murdered. But he finds himself alienated from both the white-dominated police force and the Indigenous community, including his own daughter, who he discovers has a connection to the murdered girl."
1022,Young & Beautiful ( Jeune & jolie ),2.93/4,2013,Drama,NR,Fran̤ois Ozon,"Marine Vacth, G̩raldine Pailhas, Fr̩d̩ric Pierrot","After losing her virginity, Isabelle takes on the life of a call girl. But in this secret life she finds little interest in the people she sleeps with nor the money she collects."
1023,Mama (2013),2.64/4,2013,Horror,PG-13,Andres Muschietti,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier",A couple are the only living relatives of nieces who were left alone in the forest for five years. Yet after they take charge of the girls they find out maybe they weren't alone after all...
1024,Why Don't You Play in Hell? ( Jigoku de naze warui ),3.40/4,2013,Action/Comedy,NR,Shion Sono,"Jun Kunimura, Fumi Nikaid̫, Shin'ichi Tsutsumi",
1025,Thor: The Dark World,2.93/4,2013,Adventure/Fantasy,PG-13,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston","Following the events in The Avengers, Thor returns home to Asgard only to face a malevolent force older than the universe itself. Malekith has returned and plans to return all to darkness - and not even the might of Odin and Asgard can stop him. Thor will take on a journey both dangerous and personal, and he may have to sacrifice everything in order to save all the realms from destruction."
1026,Coherence,3.15/4,2013,Sci-Fi/Drama,NR,James Ward Byrkit,"Hugo Armstrong, Emily Baldoni, Nicholas Brendon",A group of eight friends at a dinner party must deal with the aftermath of a cosmic anomaly when a comet passes overhead.
1027,Frances Ha,3.05/4,2013,Comedy,R,Noah Baumbach,"Greta Gerwig, Mickey Sumner, Adam Driver",A 27-year-old New York woman tries to find her place in life - she works at a dance company but doesn't dance - has a best friend she hardly talks to and lives an apartment she doesn't really own.
1028,Red Obsession,3.50/4,2013,Documentary/Historical,NR,"David Roach, Warwick Ross","Debra Meiburg, Russell Crowe","Bordeaux has always been a rare, prized wine among connoisseurs but the long-standing French label finds itself stretched to the brink after China makes the expensive wine their new status symbol."
1029,Gore Vidal: The United States of Amnesia,3.50/4,2013,Documentary/Biography,NR,Nicholas D. Wrathall,"Gore Vidal, Joanne Woodward, Christopher Hitchens",
1030,Blue Jasmine,2.98/4,2013,Comedy/Drama,PG-13,Woody Allen,"Cate Blanchett, Sally Hawkins, Bobby Cannavale","When her ex-husband leaves her with nothing, a woman moves in with her sister in San Francisco in the hopes of putting her life back together."
1031,42,2.95/4,2013,Biography/Drama,PG-13,Brian Helgeland,"Harrison Ford, Jon Bernthal, Chadwick Boseman","The story behind Jackie Robinson's historical turn at breaking the color barrier in baseball, with guidance from  Brooklyn Dodger's executive director Ricky Branch."
1032,"Kings of Summer, The ( Toy's House )",2.99/4,2013,Comedy,R,Jordan Vogt-Roberts,"Alison Brie, Nick Offerman, Megan Mullally","Three teens boys, fed up with their unhappy lives, decide to head off into the wilderness to build their own house and live on their own."
1033,Prince Avalanche,3.02/4,2013,Comedy/Drama,R,David Gordon Green,"Paul Rudd, Emile Hirsch, Lance LeGault","Set in 1988, two men leave behind their city lives one summer and take their highway road work to a more isolated area. Yet this opens up opportunities for misadventures as the two men find themselves at odds with each other and the women they left behind."
1034,Enough Said,2.98/4,2013,Comedy,PG-13,Nicole Holofcener,"James Gandolfini, Toni Collette, Catherine Keener",A divorced woman thinks she has finally found a new man she can share her life with... the only problem is he turns out to be the ex-husband of her new friend.
1035,World War Z,2.81/4,2013,Drama/Horror,PG-13,Marc Forster,"Brad Pitt, Mireille Enos, James Badge Dale","Based on the book World War Z: An Oral History of the Zombie War by Max Brooks - ten years after a zombie epidemic nearly exterminates the human race, the author takes a tour of the world interviewing survivors and tracing the history of the outbreak and how humanity fought back."
1036,"Iceman, The (2013)",2.90/4,2013,Crime/Drama,R,Ariel Vromen,"Michael Shannon, Winona Ryder, Chris Evans","Richard Kuklinski led a double life - on one hand he was a loving family man - on the other, a cold-blooded hitman - this is his story."
1037,The Unbelievers,2.93/4,2013,Documentary/Biography,NR,Gus Holwerda,"Woody Allen, Richard Dawkins, Cameron Diaz",Follows a a globe-spanning journey of renowned scientists Richard Dawkins and Lawrence Krauss as they speak about embracing science and reason over religion and politics with hopes of making the world a better place for all.
1038,The Blue Umbrella,2.85/4,2013,Animation,G,Saschka Unseld,N/A,Two umbrellas fall in love.
1039,Ender's Game,2.64/4,2013,Sci-Fi/Action,PG-13,Gavin Hood,"Asa Butterfield, Hailee Steinfeld, Harrison Ford","Based on the novel by Orson Scott Card, after an alien war has nearly wiped out humanity, the most gifted children in the world are sent to an advanced military academy in space with the hope of developing a strategy to stop the next invasion."
1040,Beyond the Hills ( Dupa dealuri ),3.06/4,2013,Drama,NR,Cristian Mungiu,"Cosmina Stratan, Cristina Flutur, Valeriu Andriuta","Two women who grew up in the same orphanage become friends and, later in life, lovers. Yet as adults the two find themselves in very different walks of life - one is a barmaid in Germany, the other has found God in a convent in Romania. Yet their bond remains and faith will be put to the ultimate test."
1041,"Sapphires, The (2013)",2.79/4,2013,Comedy/Drama,PG-13,Wayne Blair,"Chris O'Dowd, Deborah Mailman, Jessica Mauboy","Inspired by a true story, The Sapphires follows four vivacious, young and talented Australian Aboriginal girls from a remote mission as they learn about love, friendship and war when their all girl group The Sapphires entertains the U.S. troops in Vietnam in 1968. Cynthia (Tapsell), Gail (Mailman), Julie (Mauboy) and Kay (Sebbens) are discovered by Dave (O'Dowd), a good-humored talent scout with a kind heart, very little rhythm but a great knowledge of soul music. As their manager, Dave books the sisters their first true gig giving them their first taste of stardom, and travels them to Vietnam to sing for the American troops."
1042,CBGB,2.88/4,2013,Drama,R,Randall Miller,"Alan Rickman, Malin Akerman, Ashley Greene","Hilly Kristal's dream was to open a New York club catering to his favorite music: Country, Bluegrass and Blues - but as those acts became tougher and tougher to book, he turned to a different kind of music and CBGB became the hottest place for the underground punk movement."
1043,The East,2.70/4,2013,Drama/Mystery,PG-13,Zal Batmanglij,"Alexander Skarsg̴rd, Ellen Page, Julia Ormond",A woman who makes her living infiltrating various groups for a private intelligence firm finds her priorities irrevocably change after being tasked with joining an anarchist group known for targeting major corporations.
1044,Lost and Found in Armenia,2.88/4,2013,Comedy,NR,Gor Kirakosian,"Jamie Kennedy, Dave Sheridan, Angela Sarafyan","The son of a U.S. senator, devastated by a recent breakup, is convinced by a group of friends to vacation in Turkey. But a para-sailing mishap lands him in a small Armenian village where he is accused of being a spy."
1045,Finding Vivian Maier,2.88/4,2013,Documentary,NR,"John Maloof, Charlie Siskel",Vivian Maier,"During her life Vivian Maier worked as a nanny - just one of the many perfectly normal and mundane existences in the world. But after her death, over 100,000 photographs were found - and Maier was posthumously declared one of the most accomplished street photographers of our time."
1046,"Witching and Bitching ( brujas de Zugarramurdi, Las )",3.00/4,2013,Comedy/Horror,NR,́lex de la Iglesia,"Javier Botet, Mario Casas, Santiago Segura",Jewel thieves who think they have made a clean getaway instead find themselves at the mercy of a murderous coven of witches.
1047,Tom at the Farm ( Tom  la ferme ),3.00/4,2013,Drama,NR,Xavier Dolan,"Xavier Dolan, Pierre-Yves Cardinal, Lise Roy",
1048,Cheap Thrills,2.77/4,2013,Thriller,NR,E.L. Katz,"Pat Healy, Ethan Embry, Sara Paxton",A couple with some twisted notions approach a broken-down family man and his long-time friend and put them through an increasingly bizarre and dangerous set of dares over the course of an evening at a local bar.
1049,Hours (2013),2.74/4,2013,Thriller,PG-13,Eric Heisserer,"Paul Walker, Genesis Rodriguez, Judd Lormand",Nolan (Paul Walker) tries to survive a horrendous situation brought upon by Hurricane Katrina and tries to keep his new born daughter alive and away from danger.
1050,"Grandmaster, The ( Yi dai zong shi )",2.90/4,2013,Action/Biography,PG-13,Kar Wai Wong,"Tony Leung Chiu Wai, Ziyi Zhang, Chen Chang",A biography of the great martial arts master Ip Man - the legendary man who would train and mentor Bruce Lee.
1051,August: Osage County,2.84/4,2013,Comedy/Drama,R,John Wells,"Meryl Streep, Julia Roberts, Abigail Breslin","The women of the Weston family have always been headstrong - even as their lives took much different paths. A family crisis brings them back to the Midwest home where they were raised, and the dysfunctional mother they left behind."
